project,sha,message,author,total_changes,additions,deletions,files_count,hour
NABIHAyman/DemoEcommerce,36f9b8d982b417da7b48418c5633a834826f37a0,add server side pagination in user's profile,Ayman,1363,832,542,6,6
NABIHAyman/DemoEcommerce,0fc3c18ab50baccacaf1f4461ac0a2dafb8ab374,add admin dashboard and crud operations with according views,Ayman,1057,721,117,15,6
NABIHAyman/DemoEcommerce,205a3b533f91a827291fc1545b6ceec478a7c6e1,add checkout logic and views,Ayman,79,33,20,3,5
NABIHAyman/DemoEcommerce,3dfb50115da4efa3830ac95c6ab38a092b82d118,refactor twig templates and apply lean design,Ayman,936,611,195,10,3
NABIHAyman/DemoEcommerce,0aed414e97749296d3ce33c96fc1ff6cb893944e,add registration logic and views,Ayman,1286,1011,409,3,1
NABIHAyman/DemoEcommerce,4ee01c788c3e411fa7b82e4ddbeafffd259b35f8,add profile and order details logic and views,Ayman,38,27,14,15,1
NABIHAyman/DemoEcommerce,644feffcbe9c3bc2d7149f76d0016984afea858d,add cart and order logic and views,Ayman,1144,639,214,10,0
NABIHAyman/DemoEcommerce,78fe9d626307933bdac8ecf63b6d1c9eaf29c50e,add products catalog and categories logic and views,Ayman,400,316,118,1,0
NABIHAyman/DemoEcommerce,daa7657893ce0db949bcd3552f1db1a561e06b19,add migrations,Ayman,622,456,103,6,0
NABIHAyman/DemoEcommerce,5898bc9b804055f44de305af7bea6cfdbde1eb96,add authentication and resetpassword logic and views,Ayman,503,375,200,4,0
NABIHAyman/DemoEcommerce,e7d9a6798140224bee24ea38215a27e17d5105a5,Initial commit: Infrastructure Docker et Symfony,Ayman,621,383,79,12,4
